id;x;y;z;dip_dir;dip;observed_object;occurrence
D1;15;20;-40;90;45;Trias_Base;True
D2;29;18;-49.5;91;45;Trias_Base;True
D3;45;13;-40;270;45;Trias_Base;True
D4;75;28.5;-40;90;44.5;Trias_Base;True
D5;88;31.6;-49;90;45;Trias_Base;True
D6;105;18;-40;271.5;46;Trias_Base;True
D7;121;13;-30;91;40;Trias_Base;True
D8;135;28.5;-40;89;45;Trias_Base;True
D9;149;31.6;-49.5;90;45;Trias_Base;True
D10;195;22.09642857;-40;90;63;Trias_Base;True
D11;210;13.21714286;-50;91;64;Trias_Base;True
D12;15;10;-40;90;45;Trias_Base;True
D13;29;8;-49.5;91;45;Trias_Base;True
D14;45;3;-40;270;45;Trias_Base;True
D15;75;18.5;-40;90;44.5;Trias_Base;True
D16;88;21.6;-49;90;45;Trias_Base;True
D17;105;8;-40;271.5;46;Trias_Base;True
D18;121;3;-30;91;40;Trias_Base;True
D19;135;18.5;-40;89;45;Trias_Base;True
D20;149;21.6;-49.5;90;45;Trias_Base;True
D21;195;12.09642857;-40;90;63;Trias_Base;True
D22;15;5;-40;90;45;Trias_Base;True
D23;29;3;-49.5;91;45;Trias_Base;True
D24;45;-2;-40;270;45;Trias_Base;True
D25;75;13.5;-40;90;44.5;Trias_Base;True
D26;88;16.6;-49;90;45;Trias_Base;True
D27;105;3;-40;271.5;46;Trias_Base;True
D28;121;1;-30;91;40;Trias_Base;True
D29;135;13.5;-40;89;45;Trias_Base;True
D30;149;16.6;-49.5;90;45;Trias_Base;True
D31;195;7.09642857;-40;90;63;Trias_Base;True
D32;15;25;-40;90;45;Trias_Base;True
D33;29;23;-49.5;91;45;Trias_Base;True
D34;45;18;-40;270;45;Trias_Base;True
D35;75;33.5;-40;90;44.5;Trias_Base;True
D36;88;36.6;-49;90;45;Trias_Base;True
D37;105;23;-40;271.5;46;Trias_Base;True
D38;121;18;-30;91;40;Trias_Base;True
D39;135;33.5;-40;89;45;Trias_Base;True
D40;149;36.6;-49.5;90;45;Trias_Base;True
D41;195;27.09642857;-40;90;63;Trias_Base;True
D42;15;30;-40;90;45;Trias_Base;True
D43;29;28;-49.5;91;45;Trias_Base;True
D44;45;23;-40;270;45;Trias_Base;True
D45;75;38.5;-40;90;44.5;Trias_Base;True
D46;88;41.6;-49;90;45;Trias_Base;True
D47;105;28;-40;271.5;46;Trias_Base;True
D48;121;23;-30;91;40;Trias_Base;True
D49;135;38.5;-40;89;45;Trias_Base;True
D50;149;41.6;-49.5;90;45;Trias_Base;True
D51;195;32.09642857;-40;90;63;Trias_Base;True
D52;15;49;-40;90;45;Trias_Base;True
D53;29;49;-49.5;91;45;Trias_Base;True
D54;45;49;-40;270;45;Trias_Base;True
D55;75;49;-40;90;44.5;Trias_Base;True
D56;88;49;-49;90;45;Trias_Base;True
D57;105;49;-40;271.5;46;Trias_Base;True
D58;121;49;-30;91;40;Trias_Base;True
D59;135;49;-40;89;45;Trias_Base;True
D60;149;49;-49.5;90;45;Trias_Base;True
D61;195;49;-40;90;63;Trias_Base;True
D62;170;2;-30;271;45;Trias_Base;True
D63;170;8;-30;271;45;Trias_Base;True
D64;170;14;-30;271;45;Trias_Base;True
D65;170;20;-30;271;45;Trias_Base;True
D66;170;26;-30;271;45;Trias_Base;True
D67;170;32;-30;271;45;Trias_Base;True
D68;170;38;-30;271;45;Trias_Base;True
D69;170;44;-30;271;45;Trias_Base;True
D70;170;49;-30;271;45;Trias_Base;True
D71;48;2;-31;271;45;Trias_Base;True
D72;48;8;-31;271;45;Trias_Base;True
D73;48;14;-31;271;45;Trias_Base;True
D74;48;20;-31;271;45;Trias_Base;True
D75;48;26;-31;271;45;Trias_Base;True
D76;48;32;-31;271;45;Trias_Base;True
D77;48;38;-31;271;45;Trias_Base;True
D78;48;44;-31;271;45;Trias_Base;True
D79;48;49;-31;271;45;Trias_Base;True
D80;48;35;-31;271;45;Trias_Base;True
